City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Innisfail,AU,-17.5333,146.0333,79.95,90,100,2.93,overcast clouds
257,Guerrero Negro,MX,27.9769,-114.0611,62.33,28,0,17.0,clear sky
258,Luzhou,CN,28.8724,105.4405,48.34,65,98,3.96,overcast clouds
259,Waddan,LY,29.1614,16.139,47.1,80,0,5.44,clear sky
260,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,47,75,13.42,broken clouds
261,San Quintin,MX,30.4833,-115.95,57.42,62,0,4.14,clear sky
262,Sangar,RU,63.9242,127.4739,-25.87,99,99,2.06,overcast clouds
263,Piacabucu,BR,-10.4056,-36.4344,78.64,75,82,9.26,broken clouds
264,Nantucket,US,41.2835,-70.0995,49.14,94,100,12.66,overcast clouds
265,Kawalu,ID,-7.3817,108.2082,82.81,64,27,0.69,scattered clouds
266,Springfield,US,37.2153,-93.2982,16.52,87,100,5.99,overcast clouds
267,Xuddur,SO,4.1213,43.8894,68.59,67,100,15.95,overcast clouds
268,Ponta Delgada,PT,37.7333,-25.6667,60.49,77,20,16.11,few clouds
269,Gamba,GA,-2.65,10.0,73.8,90,100,1.99,overcast clouds
270,Nome,US,64.5011,-165.4064,6.87,52,0,29.93,clear sky
271,Byron Bay,AU,-28.65,153.6167,78.75,84,78,20.65,broken clouds
272,Otjimbingwe,NA,-22.35,16.1333,71.76,48,67,2.75,broken clouds
273,Sao Filipe,CV,14.8961,-24.4956,73.02,75,0,9.48,clear sky
274,Lavrentiya,RU,65.5833,-171.0,-0.15,60,0,20.49,clear sky
275,Basavakalyan,IN,17.8667,76.95,60.49,55,7,7.78,clear sky
276,Sept-Iles,CA,50.2001,-66.3821,6.06,61,75,10.0,broken clouds
277,Neftegorsk,RU,52.802,51.166,31.26,95,100,14.14,snow
278,Maceio,BR,-9.6658,-35.7353,78.24,83,0,3.44,clear sky
279,Zaysan,KZ,47.4667,84.8667,-6.41,85,77,2.95,broken clouds
280,Piopio,NZ,-38.4667,175.0167,88.43,29,5,5.86,clear sky
281,Hami,CN,42.8,93.45,21.33,37,12,3.94,few clouds
282,Grand Gaube,MU,-20.0064,57.6608,81.0,84,100,11.01,overcast clouds
283,Chokurdakh,RU,70.6333,147.9167,-28.01,100,71,0.87,broken clouds
284,Marystown,CA,47.1666,-55.1483,38.86,100,100,5.99,overcast clouds
285,Aswan,EG,24.0934,32.907,53.13,35,0,8.66,clear sky
286,Bull Savanna,JM,17.8868,-77.5902,73.15,83,4,6.58,clear sky
287,Severo-Kurilsk,RU,50.6789,156.125,31.33,88,100,10.8,light snow
288,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,94,40,3.44,scattered clouds
289,Husavik,IS,66.0449,-17.3389,28.31,93,100,15.59,snow
290,San Jose,US,37.3394,-121.895,62.22,38,75,9.22,broken clouds
291,Evensk,RU,61.95,159.2333,15.75,44,59,21.72,broken clouds
292,George,ZA,-33.963,22.4617,60.35,100,100,2.3,overcast clouds
293,Flin Flon,CA,54.7682,-101.865,-17.39,96,42,5.32,scattered clouds
294,Belmonte,BR,-15.8631,-38.8828,81.1,81,92,6.46,overcast clouds
295,Leh,IN,34.1667,77.5833,3.38,97,100,1.79,overcast clouds
296,Miles City,US,46.4083,-105.8406,20.37,68,20,10.36,few clouds
297,Tecoanapa,MX,16.5167,-98.75,75.83,69,0,5.23,clear sky
298,Katsuura,JP,35.1333,140.3,46.11,61,100,9.48,overcast clouds
299,Koumac,NC,-20.5667,164.2833,85.23,75,91,10.45,overcast clouds
300,Elk City,US,35.412,-99.4043,16.48,85,100,21.85,light snow
301,Puerto Colombia,CO,10.9878,-74.9547,80.69,83,0,27.25,clear sky
302,Lishui,CN,28.4604,119.9103,39.29,99,100,2.66,overcast clouds
303,Cap Malheureux,MU,-19.9842,57.6142,81.09,84,100,11.01,overcast clouds
304,Nishihara,JP,26.1842,127.7558,62.65,97,100,10.36,mist
305,Peterborough,GB,52.5736,-0.2478,49.24,83,75,18.41,broken clouds
306,Celestun,MX,20.8667,-90.4,78.24,71,0,5.19,clear sky
307,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,25.32,light rain
308,Angahuan,MX,19.55,-102.1833,54.19,55,23,1.12,few clouds
309,Vostok,RU,46.4856,135.8833,0.07,85,98,4.09,overcast clouds
310,Dali,CN,25.7,100.1833,45.0,67,4,2.33,clear sky
311,Jiangmen,CN,22.5833,113.0833,50.99,59,11,14.45,few clouds
312,Eyl,SO,7.9803,49.8164,68.9,74,1,10.49,clear sky
313,Lalibela,ET,12.0333,39.0333,56.5,51,89,0.56,overcast clouds
314,Halifax,CA,44.6453,-63.5724,40.89,98,100,1.99,overcast clouds
315,Hearst,CA,49.6835,-83.6665,-21.75,98,11,3.33,few clouds
316,Leningradskiy,RU,69.3833,178.4167,-8.32,81,2,8.81,clear sky
317,Saint Anthony,US,45.0205,-93.218,1.29,62,0,1.01,clear sky
318,Sayyan,YE,15.1718,44.3244,48.7,34,3,1.95,clear sky
