City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
102,Bengkulu,ID,76.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
105,Champerico,GT,81.36,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
109,Atuona,PF,78.66,clear sky,-9.8,-139.0333,Villa Enata
112,Atambua,ID,78.6,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
113,Saint-Philippe,RE,78.35,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
117,Saint-Joseph,RE,77.36,moderate rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
119,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
124,Prado,BR,77.34,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
128,Ballina,AU,75.24,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
131,Meulaboh,ID,76.08,overcast clouds,4.1363,96.1285,Kost Pria
132,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
137,Ahipara,NZ,77.14,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
139,Alyangula,AU,84.07,light rain,-13.8483,136.4192,Groote Eylandt Lodge
153,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
157,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
161,Arraial Do Cabo,BR,75.43,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
167,Karratha,AU,89.76,broken clouds,-20.7377,116.8463,ibis Styles Karratha
170,Bambanglipuro,ID,80.19,overcast clouds,-7.95,110.2833,Puri Brata
171,Acarau,BR,78.8,broken clouds,-2.8856,-40.12,castelo pizzaria
174,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
175,Lorengau,PG,84.54,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
176,Trenggalek,ID,79.0,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
178,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
181,Dingle,PH,81.09,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
182,Vaini,TO,86.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
183,Manokwari,ID,80.91,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
185,Axim,GH,78.82,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
